user_id,age,gender,country,occupation,income_level,years_gaming,preferred_genre,platform,device_type,rank_tier,daily_playtime_hours,weekly_play_sessions,late_night_sessions_hours,weekend_playtime_hours,consecutive_hours_max,multiplayer_ratio,toxic_chat_reports,rage_quit_frequency,in_game_purchases,monthly_spending_usd,lootbox_openings,subscription_status,stress_score,loneliness_score,dopamine_dependency_index,self_control_score,impulsiveness_score,anxiety_level,depression_indicator,emotional_stability,sleep_hours,exercise_frequency_per_week,caffeine_intake_cups_day,social_interaction_hours,relationship_status,gpa_or_performance_score,missed_deadlines,productivity_drop_percent,absenteeism_days,internet_speed_mbps,screen_time_total_hours,behavioral_cluster,addiction_score,addiction_binary,addiction_severity,burnout_probability,mental_health_risk_score,churn_probability
USR000001,21,Male,India,Employed,Middle,9,Sandbox,PC,Laptop,Gold,3.5,4,1.0,4.9,6.5,0.67,0,0,0,38.67,10,None,8.2,8.8,2.7,7.0,5.1,9.9,8.5,3.7,6.3,2,0,2.7,In a relationship,4.0,4,0,7,39.9,5.4,Casual Enjoyer,27.61,0,Mild,1,0.92,1
USR000002,25,Male,India,Employed,Lower-Middle,13,RPG,Mobile,Mixed,Bronze,10.9,14,3.2,14.7,15.9,0.44,2,0,7,47.35,18,Premium,7.8,5.6,8.2,6.5,3.5,6.2,4.1,3.0,6.1,0,2,3.5,In a relationship,4.0,4,16.7,6,71.5,13.4,Streamer/Creator,55.51,1,Moderate,1,0.515,0.813
USR000003,26,Male,Brazil,Employed,Middle,14,RPG,PC+Mobile,High-end PC,Master,8.6,7,2.4,11.6,13.1,0.32,0,1,3,37.8,4,Ultimate,8.4,4.1,5.0,4.2,6.1,7.7,6.7,3.3,6.1,1,3,2.0,Prefer not to say,4.0,6,8.5,7,119.4,12.3,Streamer/Creator,45.85,0,Moderate,1,0.72,0.947
USR000004,22,Male,South Korea,Employed,Upper-Middle,10,Strategy,PC+Mobile,Mobile,Bronze,5.9,5,1.1,13.6,8.2,0.23,7,7,9,74.51,15,None,6.0,4.5,6.0,5.8,3.6,5.9,4.5,6.5,6.7,4,5,0.6,Married,4.0,3,8.7,8,136.5,6.9,Toxic Competitor,39.87,0,Mild,1,0.52,0.66
USR000005,17,Female,India,Student,Middle,5,Strategy,PC,Laptop,Bronze,7.4,8,3.2,6.3,14.2,0.57,4,2,5,25.32,0,Premium,8.0,4.2,6.2,6.5,5.0,8.4,3.3,5.5,7.6,1,0,1.2,Single,2.6,3,21.9,6,78.8,9.3,Competitive Grinder,46.97,0,Moderate,1,0.585,0.867
USR000006,13,Male,USA,Freelancer,Middle,1,Horror,PC,Mobile,Silver,1.4,1,0,1.7,3.5,0.35,0,0,9,18.71,0,None,1,7.2,2.2,7.0,4.2,3.0,5.0,10,7.2,3,1,3.1,In a relationship,4.0,0,0,3,93.8,3.7,Casual Enjoyer,17.26,0,None,0.32,0.4,0.15
USR000007,27,Male,UK,Unemployed,Lower-Middle,15,RPG,Console,Console,Silver,8.0,10,2.9,10.6,12.3,0.49,17,7,7,0,9,Premium,7.6,5.5,4.6,8.4,4.3,5.8,5.2,3.9,8.0,1,3,0.5,In a relationship,4.0,2,30.2,12,5,10.0,Toxic Competitor,34.82,0,Mild,1,0.55,0.879
USR000008,18,Non-binary,Canada,Student,Middle,6,MOBA,PC,Mixed,Bronze,2.2,3,0.2,3.2,5.1,0.51,1,0,3,14.17,2,Premium,4.6,6.9,1.4,4.7,3.9,4.7,5.1,8.5,7.3,0,0,3.6,Single,3.35,2,0,5,97.1,4.7,Casual Enjoyer,22.66,0,Mild,1,0.49,0.825
USR000009,16,Female,USA,Student,High,1,Sports,Mobile,Mixed,Gold,8.3,12,1.7,11.5,11.9,0.67,6,6,13,95.67,22,Basic,8.1,3.2,6.1,10,2.6,4.8,3.2,3.8,7.5,0,3,4.7,In a relationship,2.72,3,35.2,5,81.9,11.0,Toxic Competitor,35.08,0,Mild,1,0.4,0.928
USR000010,30,Female,Brazil,Freelancer,Middle,18,Strategy,Console,Mid-range PC,Gold,6.9,8,2.4,6.1,12.7,0.53,9,7,0,55.9,14,Premium,4.9,1,2.9,3.4,6.4,4.8,1,7.2,5.4,2,1,4.8,In a relationship,4.0,2,24.8,3,22.2,7.5,Competitive Grinder,46.24,0,Moderate,1,0.29,0.756
